text,labels
പ്രകൃതി മാതാവ് ആരോഗ്യ വതിയായി തീ രുകയാണ്<br>നമ്മെ രക്ഷിക്കുന്ന തത്വവും ശക്തിയും നമ്മുക്കും രക്ഷിക്കാനായി വിദ്യയും സമ്പത്തും ശക്തിയുമായി തീർക്കാം ലോക ഭരണത്തിനായി . നാം അമ്മ മക്കൾ ശക്തിയും തത്വമായി ഒരു മ യായി തീർക്കും പ്രകൃതി സുകൃത സംസ്കൃതി ഭാരതത്തിന്റെ ശക്തിയും തത്വയും വിശ്വ രക്ഷയാണ് ദൈവത്തിനെ സൃഷ്ടിക്കുന്ന മാതൃത്വം ഇവിടെയാ ണ് മാതൃത്വം പുജയും ഭക്തിയും ഇവിടെയാണ് എല്ലാ ശുഭം<br>വന്ദനം,original
This buffoon kaalakathykkali very bad amidst of Martyr Comrade Deerajs death.  Wondered to note that what happened to the party in the hands of cultureless senseless group. This is very cruel and should not repeat in anyway. Society could have remember today with thanks if the money spent for the same has been spent for providing food for the poor in the name of paavam Deeraj. Some blind illeterates nonsense sitting at top are governing now and ridiculing party and society..... Shame and sorry.,original
വീണ ആദ്യം നിങ്ങളുടെ ആൾക്കാരെ നന്നാക്ക്... ക്ലാസ്സ്‌ അവർക്കാകട്ടെ,Fake
"Not correct, China is now facing financial problem.  Their largest construction company is in big trouble",Fake
Onnupodo,Fake
ആകെ മൊത്തം 3 കോടിയിലധികം ആൾക്കാരെ കേരളത്തിലുള്ളു അപ്പളാ നൂറു കോടി പ്രമാണം 😂😂😂😂😂,original
എന്തൊക്കെ കണ്ടാലും കേട്ടാലും പഠിക്കാത്ത ജനങ്ങൾ ആയി നാം മാറിയിരിക്കുന്നു.,Fake
"ചൈനയെ തകർക്കാൻ ശ്രമിച്ചവർ ഇപ്പോൾ അനുഭവിക്കുന്നു 1 കോവിസ് കേരളത്തിൽ ഇത്രയതികം കൂടുന്നു , എന്തെ ഗുജറാത്തിലും യൂയിയിലും ഇത്രയാദികം വർദ്ധിക്കുന്നില്ല ,",Fake
ഹ ഹ ഹ<br>ഉത്തര കൊറിയയിൽ എത്ര ? കോടിക്കണക്കിനാളുകൾക്കോ,Fake
ശാസ്ത്രം കൂടുതൽ ഉള്ള കമ്മ്യൂണിസ്റ്റു ചൈനയിലും ഇറ്റലിയിലും ഏറ്റവും കൂടുതൽ പേർ മരിച്ചു,Fake
അരേ വാ വാ... വയലാറെഴുതോ ഇതുപോലെ. 🙂,original
"Parayunnath onne, cheyuunath veronne.. nalla best coordination 👏",original
അധികാരത്തിൽ എത്തിക്കഴിയുമ്പോൾ എല്ലാവരും ഇതേരീതിയിൽ തന്നെയാണ്  പാർട്ടിയുടെ പേരുകളിൽ മാത്രമേ മാറ്റമൊള്ളൂ...കാലഹരണപ്പെട്ട ആദർശങ്ങളുടെ പേരിൽ ഇപ്പോഴും പാവപ്പെട്ടവരുടെ ചോര ഊറ്റുന്ന.....പ്രസംഗവും പ്രവർത്തിയുമായി ബന്ധമില്ലാത്ത ഇവരിൽനിന്ന് നല്ല കാര്യങ്ങൾ പ്രതീക്ഷിച്ചെങ്കിൽ അത് ജനത്തിന്റെ തെറ്റാണ്...ജനത്തിന്റെ മാത്രം.,original
Rakthasakshiye kittiyathinte akhoshamano,original
സാജൻ sir ഉള്ളത് പറയും   ഏത് മതമായാലും മറുനാടൻ ചാനൽ ഉയിര്,Fake
"പുര കത്തുമ്പോൾ വാഴ വെട്ടുക , കൊറോണ വരുമ്പോൾ തിരുവാതിര കളിക്കുക😂😂",original
Aa kollam kollam.. Super👌,original
ചൈനയെ നശിപ്പിക്കണം പട്ടികൾ,Fake
Deltaum inde omicronum inde education illatha partyum Kure shavamgalum,original
റിലേ പോയ വിജയനും ബ്രേക്കില്ലാത്ത ഭരണവും,original
"ചൈനയാണ് ഇതിന്റെ ഉത്തരവാദി.WHO തലവൻ Tredrous Adhanom ആണ് ഇതിന്റെ കൂട്ടിക്കൊടുപ്പുകാരൻ.ഇന്ത്യയെയും വളർന്നു വരുന്ന വരുന്ന മറ്റു രാജ്യങ്ങളെയും തകർക്കാൻ വേണ്ടി തന്നെയാണ് ചൈന ഇത് ചെയ്തത്.<br><br><br>സത്യം പറഞ്ഞത് കൊണ്ടാണ് ട്രംപിന് അധികാരം നഷ്ടമായത്. ശാസ്ത്രജ്ഞരും മാധ്യമങ്ങളും ടെക്നോളജി ഭീമന്മാരും അദ്ദേഹത്തെ ഒരു കോമാളിയാക്കി ചിത്രീകരിച്ചു,അങ്ങനെ അധികാരം നഷ്ടമായി......ലോകം നിയന്ത്രിക്കുന്നത് ചൈനയാണ്.",Fake
ആശാന് അടുപ്പിലും ആകാം...,original
ഇത് ചൈനയുടെ വളരെ തന്ത്ര പരമായ ഇടപടലാണ് നടത്തുന്നത് ആദ്യം സ്വന്തം നാട്ടിൽ പരീക്ഷണം നടത്തുകയും വിജയിക്കുകയും മറ്റുള്ളവർക്ക് സംശയമില്ലാതാവുകയുമെയ്യും അമേരിക്കയേയും യൂറോപ്പിനേയും തകർത്താൽ അവർക്ക് ലോകം ഭരിക്കാം ഒരു പ്രവചനം നബി (സ) പറഞ്ഞിട്ടുണ്ട് അവസാനക്കാലം കണ്ണ് ഇറുങ്ങിയവർ ലോകം ഭരിക്കുമെന്ന് അതിലേക്കുള്ള മുന്നൊരുക്കമാണിത്,Fake
എനക് ഇതു ഒന്നും പ്രശ്നമേ അല്ല,original
One world order,Fake
ദുരന്തങ്ങൾ   ഒന്നിനു പിറകെ ഒന്ന് ലൈവ് ആയി നിന്നാലേ 2026+ലും കിറ്റ് കൊടുത്ത് ഭരണം തുടരും,original
ഊമ്പിയ രാജിയം  ആണ് ചൈന,Fake
കാരണവന്മാർക്ക് അടുപ്പിലും തൂറാം....dhe eppo ok,original
സഘി തീവ്രവാദികൾ രോഗം പരത്തുന്നോ!,Fake
"ജര്‍മ്മന്‍കാരന്‍ ജൂതന്‍ എഴുതിയുണ്ടാക്കിയ  കമ്മ്യൂണിസവുമായി യാതൊരു  പുലബന്ധവുമില്ലാതെ  ആ ജൂതന്‍െറ പാര്‍ട്ടിയുടെ  പേരില്‍ അറിയപെടുന്ന  വടക്കേ മലബാറിലെ തീയ്യനും, നമ്പ്യാരും കൂടി  കാവിലെ  തെയ്യം  കള്ളകടത്തും, മയക്കുമരുന്ന്  കച്ചവടവും  , പിരുവും നടത്തി കോടികള്‍  സമ്പാദിക്കുന്ന  പാര്‍ട്ടിയാണ്      കേരള  കമ്മ്യൂണിസം",original
Avastta..,original
"തിരുവാതിരയിൽ 501 അല്ല ആയിരിക്കും, വലിയ    51,     5   0  1 പൂജിയം വീണുപോയതാരിക്കും",original
വീണക്ക് വേറെ വല്ല പണിയും  നോക്കുന്നതാ നല്ലത്,original
Chankile china🧨🧨🥊🥊🧣📍📌📌📍🩸🩸💉💊🧯🧯🚷,Fake
Where is state health minister... Whether she is alive?... She is not ashamed...? Your party congress....? Useless minister.... Meant for nothing......,original
നീ പുലിയാണ് കേട്ടോ,original
"എന്തു ചെയ്യും? ഒരു ചുക്കും ചെയ്യില്ല. ചൈനക്കും സപ്പോർട്ട് ചെയ്യാൻ കുറേ രാജ്യങ്ങളുണ്ടാവും. മാത്രമല്ല ഐക്യരാഷ്ട്ര സഭയിൽ കൂടിപ്പോയാലൊരു താക്കീത്, ശാസന. അത്രേയുള്ളൂ. അവർ വീണ്ടുമിതുതന്നെ ചെയ്യും. ഏഷ്യാനെറ്റ്നെ പോലെ. ചെയ്യുന്നതൊക്കെ മനപ്പൂർവം അറിഞ്ഞോണ്ട്  ചെയ്തിട്ട് പിന്നെ ഒരു മാപ്പ്",Fake
നാണമില്ലേ ഇവർക്ക്  പറയുന്നത് ഒന്ന് ചെയുന്നത് മറ്റൊന്ന്,original
They have the antidot,Fake
ഒന്നും പറയാണില്ലാ ...<br>അനുഭവിക്കുക തന്നെ....<br>പൊതു ജനം കഴുതക്കളാണ്  എന്നല്ലേ വെപ്പ്😀😀😀😀,Fake
ഇനി ലോക്ക് ഇട്ടു അകത്തു ഇരുത്താൻ നോക്കണ്ട 2കൊല്ലം ഞങ്ങൾ കേട്ടു ഇനി കേൾക്കില്ല,original
The eyes of darkness.,Fake
ഏഴാം അറിവ് enna film ഇതുമായി നല്ല ബാധമുണ്ടല്ലോ. അതിലും വില്ലൻ ചൈന തന്നെ alle🤔🤔🤔,Fake
Covid thiruvathira mela 😂😡kashtam🥵,original
സാജൻ സാർ പറഞ്ഞത് പോലെ നടക്കട്ടെ.... ഇത് കഴിഞ്ഞൽ  ചാണക പുഴു വൈറസാകാൻ സത്യതയുണ്ട്...,Fake
Prasangam allathe pravarthy illa.,original
WHO ക്ക് ഫണ്ട്‌ ചെയ്യുന്ന ചൈന 😑,Fake
ഇരട്ട ചങ്കൻ....  ഇങ്ങനെ ഒക്കെ വേണോ പാവങ്ങളോട്..... ഒരു മുഖ്യൻ... ഇതാണോ  നല്ല സന്ദേശം... <br>പാവം പ്രവാസി കൾ...  എല്ലാരും കുതിര കേറുന്നത് ഈ പാവം കൂട്ടത്തിനോട് മാത്രം.... <br><br>ഒരു പന്ന ആരോഗ്യ മന്ത്രി യും  പിന്നെ elllathinum മേലെ ഒരു  <br>&quot,original
വിനാശത്തിന്റെയും ഭീകരതയുടെയും മതക്കാർക്ക് എന്ത് കൊറോണ .,Fake
"If vaccine is safe, then why government not ready to giving compensation for future side effects.?",Fake
മുറിവൈദ്യൻ മാരാണെങ്കിൽ അവരുടെ വെല്ലുവിളി ഏറ്റെടുത്ത്<br>അവർ കൂടെ കിടക്കട്ടേ അതോടെ<br>അവസാന ിക്കുമല്ലോ എല്ലാം,Fake
Adipoli,original
"ചൈന യുടെ പ്ലാൻ തന്നെയാണ്,  ദുരൂഹത ഉണ്ട്",Fake
ചൈനയിൽ നിന്നാണല്ലോ ആദ്യം തുടങ്ങിയത് ... but ഇപ്പൊ മാറി,Fake
"😀😀😀😀😀enthaa cheyyuka,anubhavikkuka",original
It&#39,Fake
Thank you doctor...!,Fake
America wuhan lab bombittu champalakkanam,Fake
കൊറോണ അതിഗംഭീരമായി 3 ഘട്ടം വരവേൽക്കുന്ന cpm ഗവർമെന്റ്.. മണ്ടൻ മധ്രിസബ.😔,original
ചൈന ഉത്പന്നങ്ങൾ ബഹിഷ്കരിക്കുക.,Fake
പിണറായി സ്വയം പൊങ്ങി എന്ന് ആരും പറഞ്ഞേക്കരുത് 😂🤣🤣🤣😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,original
"തിരുവാതിര നടത്തിയിട്ടു കൊറോണ കുറഞ്ഞില്ലെങ്കിൽ, ഇനി ഒപ്പന ഒന്ന് പരീക്ഷിച്ചാലോ. മാർഗ്ഗം കളിയും പരീക്ഷിക്കാവുന്നതാണ്.",original
Aar ingane cheythath anelum<br>Naamokke etre budhimuttunnundenno?💔,Fake
Varendannu paranju kaanum.. virus ilibhyanaaayi..,Fake
"ഇപ്പോൾ ലോകത്തിലെ ഏറ്റവും സാംക്രമിക വൈറസ് ഈ ലാടവൈദ്യനാണ്.ഇവനെ എത്രയും പെട്ടെന്ന് ഏതെങ്കിലും ഒരു കോവിഡ് രോഗിയെകൂടി ഒറ്റദിവസം മാത്രം മതി!ഒന്നു കഴിയാൻ അനുവദിക്കൂ..ആരോഗ്യമന്ത്രിയോടുള്ള അപേക്ഷയാണ്.ഇവനെ,ഈ വൈറസിനെ മലയാളക്കരയിൽനിന്നും രക്ഷിക്കൂ.",Fake
ഇത് കൊള്ളാം,original
1947 ഓഗസ്റ്റ് 15 ന് ഇന്ത്യക്ക് സ്വാതന്ത്ര്യം കിട്ടി എന്ന് പറയുന്നു. ഇവിടെ കേരളത്തിൽ ജനിച്ചതുകൊണ്ട് ആണോന്നറിയില്ല അങ്ങനെ തോന്നുന്നില്ല,original
പൊട്ടൻ...,original
യാതൊരു ദുരുദ്ദേശവും ഇല്ലെങ്കിൽ പിന്നെ എന്തുകൊണ്ട് നേരത്തെ wuhan lock ചെയ്തു ലോകത്തെ അറിയിച്ചില്ല?? ഡാഷ് മക്കൾ കമ്മ്യൂണിസ്റ്റ്‌ ഭ്രാന്തന്മാർ..!,Fake
ദൈവം മനുഷ്യനെ സരള ഹൃദയനായി സൃഷ്ടിച്ചു. എന്നാല്‍ അവന്റെ സങ്കീര്‍ണപ്രശ്‌നങ്ങള്‍ അവന്റെ തന്നെ സൃഷ്ടിയാണ്. (ബൈബിൾ ),Fake
ചൈന ചിരിച്ചു കൊണ്ട് കഴുത്തു അറക്കുന്നു. നോക്കിക്കോ ഇനി ഒരു യുദ്ധം ഉണ്ടേൽ ചൈന തകർന്നു അടിഞ്ഞിരിക്കും.ഇതു ചൈനയുടെ ബയോ വാർ ആണ്,Fake
Asianetile oru good program 👌.....content creator nd presenter needs a good👏,original
ഇത് നിരോധിക്കാമയിരുന്നു!!!,Fake
കൊറോണ പോയാലും തൊട്ടും തീണ്ടിയും ജീവികവേണ്ട എന്നങ്ട് തീരുമാനിക്യ.,Fake
China uyir😘,Fake
Sare Britton vartha akkiyale Sare ollathu parayukayoullu. Election covid mela nadannapol thankal onnum mindathe erunnu eppol botham vanno Sare.,original
Patti narikal ellam thudagivachitt China ninnu thudachubnikkum ennu....matturavakkayallooo...eni nigalkku enthum avvalloo,Fake
ഇപ്പോൾ എല്ലാവർക്കും പേടിമാറി വരുന്നു,original
Paranariye.Pedichitta.Omikron.Korona.Avidekkku.Kadakkathathu. Chennal..Kadakku..Purathu.Ennu.Kelkkandayennu.Karuthiyanu.Pokathathu.Pol.Ekathipathikkendumakamallo.,original
Chinaye veruthe vidaruth,Fake
Omicron... It&#39,original
ഇതു ചൈന  ജിഹാദ് ആണോ..😄😄.,Fake
Virus incubator China ye ottapeduthanam......They killed millions and blame nature,Fake
Cpm thanne ee parupadi kal ellam cheyunnathe jannangalle viddikallakkiyathe nirthathayilla cpm thanne nadinnapathannu cpm ulla ellarum sampannarayil adipidi kku poya kurachuthandikal mathram vayinookki nadakkunnu share ittu kallukudikkan nadakkunnu,original
തിരുവാതിരഭഗവാൻറെ പിറന്നാളാണ് തിരുവാതിരതിരുവാതിര അല്ല കൈകൊട്ടിക്കളികേരളത്തിലെ ജനങ്ങളെ മുഴുവൻ വിഷമിപ്പിച്ചിട്ടുണ്ട് ഒരു ആഘോഷ,original
എന്തായാലും ആ  D പൊയ്‌ക്കിട്ടിയല്ലോ,original
All are doctors now..<br>People know about covid now...They know about protection...Mask..<br>Ayuvedic treatment.. Method<br>Remidie. .Give instructions<br>and Guidelines.. Nothing to worry...But Lockdown and some panics are here..,Fake
Ini onnum cheyathirinalmathi . munne paranjathu pinarayi 7divasam corontain aaki,original
ചി ചി എം,original
നാട്ടുകാരുടെ ജീവൻ പോയാൽ മഞ്ഞരമയ്ക്കെന്താല്ലേ???ഫൈസറുകാരും ബിൽ ഗേറ്റ്സുമൊക്കെ എത്ര തന്നു???,Fake
ചൈനയിലും കൊറിയയിലും എങ്ങനെയാണ് കൊറോണ പടരുന്നത്. രോഗം വന്നവരെ അപ്പ്പോൾ കൊന്നുകളയുകയല്ലേ.,Fake
China is a devil,Fake
അകലം പാലിച്ചുള്ള തിരുവാതിര ആയിരുന്നു... 😄,original
സുപ്പർ എഡിറ്റിങ്ങ് സൂപ്പർ അവതരണം👌👌👌👌👌,original
Seems to be a realistic analysis after a long time since COVID 19 was reported first,Fake
"&quot;എന്റെ തല, എന്റെ ഫുൾ ഫിഗർ &quot;  എന്ന തരത്തിൽ അനുയായികളെകൊണ്ട് സ്തുതി പാടിയ്ക്കുന്നത് കണ്ടിട്ട്<br>ഉത്തര കൊറിയയെയും,  &quot;കിമ്മിനെയും&quot; ഓർത്തുപോയി.<br>      വാഴ്ത്തപ്പെട്ടവനായി അടുത്ത പാർട്ടി കോൺഗ്രസ്‌ പ്രഖ്യാപിക്കും.",original
പ്രവാസികൾ നാടിന്റെ നട്ടല്ലാണ്<br>നാട്ടിൽ വല്ല സഹായവും വേണ്ടി വന്നാൽ മാത്രം,original
China indiak ethire preyogikan vendi america yude kayyil ninnu medicha virus aanu ith. Bombukalilum matum upeyogikan. Ath buhanile labil aanu soikshichirunne but enganeyo ath chaadipoyi ennanu ee coronaye pati adyamokke precharichirunnath. Ith manushya nirmithamaya virus anennum pareyunnu. Ethratholam sathyam anennu ariyilla.,Fake
രാഷ്ട്രീയകാർ അങ്ങനെ ആയി അതിനു പോകുന്ന ജനങ്ങളെ ആണു തല്ലണ്ടത്‌,original
"കാരണവന്മാർക്ക് അടുപ്പിലും തൂറാം ഞങ്ങളുടെ പാർട്ടി ഞങ്ങളുടെ കേരളം ഞങ്ങളുടെ പറമ്പ് ഞങ്ങളുടെ ആളുകൾ. ITHINEYAANU NAMMAL THENDITHARAM ENNU PARAYUYNNATHU. BHOO, BHOO, BHOO,",original
തെറ്റ് ആര് ചെയ്താലും അത് തെറ്റ് തന്നെയാണ്....👎,original
ഇനി എന്ത് നമ്മളാൽ ചെയ്യാൻ കഴിയും എന്ന് കൂടെ ചിന്തിക്കുന്നത് നല്ലത് ആണ്,Fake
എന്താ പറയാ ഒന്നും പറഞ്ഞിട്ട് കാര്യമില്ല  ഉളുപ്പില്ലാത്ത ജന്തുക്കൾ,original
"തെറ്റ്  ഉണ്ടേൽ  തിരുത്താം. പക്ഷെ  ചൈന  യുടെ  മിടുക്കു  മറ്റുള്ളവരെ  പറ്റിപ്പിക്കലാണ് എങ്കിൽ അവരുടെ ബുദ്ധിയെ പ്രശംസിക്കുക.  ഒരാൾ  നമ്മളെ  സ്വാധീനിച്ചു  പല  രീതിയും പ്രഗോഗിച്ചു  നമുക്കുള്ളതിനെ  കൈക്കൽ  ആക്കിയാൽ. ആരാണ്  മിടുക്കൻ?  ചതിക്ക  പെട്ടവൻ  ആണോ, ചതിച്ചു  വാങ്ങിയവൻ ആണോ മിടുക്കൻ.  ചൈന ഇങ്ങനെ മറ്റു ള്ളവരെ  സ്വാധീനിച്ചു  തന്റെ  കീശ  വീർപ്പിക്കുന്നു  എങ്കിൽ. ആരാണ്  തെറ്റ്  ആരാണ്  കോമാളി ആരാണ്  കേമൻ?  ഒന്ന്  ചിന്തിക്ക  തെറ്റ്  ആർക്കു  പറ്റി.  ഇവിടെ  ആരു  ബുദ്ധി  ഉള്ളവൻ. ?????",Fake
"നമിച്ചു പൊന്നോ, ഇങ്ങനെ പൊളിച്ചടക്കണോ?🙏😆",original
പിണറായി ഭഗവാനും വീണ ഭഗവതിയും നമ്മളെ രക്ഷിക്കും🙏😥🙏,original
Great depression 2.0 coming🔯,Fake
Thudarbaranam viddittham aayi,Fake
Ban china,Fake
തിരുവാതിര   എന്നാ കാലരൂപത്തെ    ഇങ്ങനെ തരം തയ്താൻ പാടില്ലായിരുന്നു,original
Oru nanakkedum Ella.. Eniyum nadakkattea.. Kumbha melam.. Ki jai... Jai mahadeva 🕉,original
Aaahaa...😇😇😇,original
"True, true, true.",Fake
എല്ലാ ജില്ലകളിലും ഓരോ തിരുവാതിര കളി സഘടിപ്പിക് അപ്പോൾ കൊറോണയ്ക് സൗകര്യം ആയിരിക്കും 🤭🤭🤭,original
നിങ്ങൾ പറഞ്ഞതിനോട് 100% യോജിക്കുന്നു ഇവിടെ ദുബായ് അതിനൊരു ബെസ്റ്റ് ഉദാഹരണമാണ്. ഇവിടെ 90% ആളുകളും എഫക്റ്റഡ് ആണ് പക്ഷെ കൂടുതലും പേര് 1 മാസത്തിനുള്ളിൽ വേറെ ഒരു ബുദ്ധിമുട്ടും ഇല്ലാതെ റിക്കവർ ആകുന്നു.  ഈ ഞാൻ ഉൾപ്പെടെ.,Fake
അതേ ലോകം മുഴുവൻ അവമാരുടെ കാൽക്കൽ ചെല്ലാൻ വേണ്ടി ആണ്,Fake
ഇത് ട്രോൾ ആണോ 😂,original
"ഇരട്ട ചങ്കൻ.... ഇങ്ങനെ ഒക്കെ വേണോ പാവങ്ങളോട്..... ഒരു മുഖ്യൻ... ഇതാണോ നല്ല സന്ദേശം...  പാവം പ്രവാസി കൾ... എല്ലാരും കുതിര കേറുന്നത് ഈ പാവം കൂട്ടത്തിനോട് മാത്രം....   ഒരു പന്ന ആരോഗ്യ മന്ത്രി യും പിന്നെ elllathinum മേലെ ഒരു  ""സൂപ്പർ "" മുഖ്യനും... കേരളം ഹാപ്പി.. ഭാഗ്യത്തിന് ഞാൻ കേരളത്തിൽ അല്ല ജീവിക്കുന്നത്",original
"ചൈന ദുരൂഹതയുടെ പട്ടികയിൽ ആണ്, അവൻ ആണ് ഇതിന്റെ സൂത്രധരൻ",Fake
This is not thiruvaathira this is new Gen pinuvathira,original
Absolutely right about Makkah pilgrim....<br>വിവേകമില്ലാത്ത ഭരണാധികരികൾ ഭരിക്കുമ്പോൾ  കുംഭമേളയൊക്കെ നടക്കും.,original
Anthada thayoli kumba mela nanakedum thableek rajyadrohavum aakumnnath,Fake
Evarkoke corona pidichal kudumbathil elavarku pidikule,Fake
Ithu.janasangia.kurakkan.vendi.nirmicjathanoo.allathenthu.parayan,Fake
ഷാജൻ സക്കറിയ ഒരു സെലിബ്രറ്റിയാണ്. വാവ സുരേഷിനെ പോലെ... നല്ലൊരു മാധ്യമ പ്രവർത്തകനാണ്.,Fake
Ulupp illatha sarkar🤣🤣🤣🤣🤣🤣,original
epoyengilum saajan makkayude  nanma paranjallo  v   good    kuodutal  padike   eniyum  nanma  parayaam   😀,Fake
തബ്ലീകുകാർ മർകസിന്റെ അകത്തു തന്നെയായിരുന്നു. അവർ പുറത്ത് എവിടെയും പോയിട്ടില്ല. കോവിഡ് പടർത്തിയിട്ടുമില്ല. കോടതി പോലും ഈ വാദത്തെ തള്ളിയിരിക്കുന്നു. നീ ഇപ്പോഴും നിന്റെ വർഗീയ വിഷം തുപ്പുകയാണ്,Fake
Note thegele thabalegu,original
ചൈനീസ് പ്രോഡക്റ്റ് ഉപയോഗിക്കരുതെന്ന് ഷവോമി ഫോണിൽ നിന്ന് കമന്റ് ഇടുന്നവരുടെ ഒക്കെ ഒരു അവസ്ഥ,Fake
BCG vaccine.... ???,Fake
Para nari cpm party&#39,original
"Doctors can speak only in support of vaccination, if not will face difficulties",Fake
എന്താ പറയാ ഇതിനൊക്കെ  എഡിറ്റ് പൊളിച്ചു💥💞🙏<br>എടപ്പാൾ പാലം<br>തിരുവാതിര തിരുവനന്തപുരം കേരളത്തിലെ മന്ത്രിമാരാണ് ഇതിനൊക്കെ മാതൃക,original
Party paruvadikk Corona marinilkumm,original
Alpante oro samaasha,Fake
ഇനി എപ്പോഴാണാവോ വീണ്ടും തിരുവാതിര ഒന്നു പങ്കെടുക്കാനാണ്. ഒരു രസല്ലേ  ഈ കോവിഡ്ന്റെ ടെൻഷൻ  മാറി കിട്ടുമല്ലോ.,original
വീണക്ക് വേറെ വല്ല പണിയും നോക്കുന്നതാ നല്ലത്,original
Cpm സമ്മേളനങ്ങൽ  കഴിയുന്ന. സാഹചര്യത്തിൽ.  ഏകദേശം കഴിയുമ്പോൾ<br>☠️☠️☠️☠️മുതിർന്ന ഒരു നേതാവ്  . ഭരണത്തിൽ ഉള്ള ആളാവാം  ഇല്ലാത്ത ആളാവാം .☠️☠️☠️☠️,original
ൻപറ്റാത്തഅവസ്ഥ,original
